,Referencia,Descripcion,Familia Padre,Familia,Subfamilia,Stock Fisico,Stock Operativo,Stock Comercial,Mar,Puerto,Despachado
994,1576,Cafetera express Power Espresso 20 Tradizionale Light Green,Pendiente Clasificación,Pendiente Clasificación,Pendiente Clasificación,2195,2191,2191,0,0,0
995,2436,Frigorífico Bolero CoolMarket Combi 250 Inox E,GAE,Frigoríficos,Frigoríficos combi,6,-4,-4,0,0,0
996,2620,TV A2 series ALU20070S,Gama Marrón,Televisores,Televisores LED,3,3,3,0,0,0
997,5600,Deshumidificador BigDry 2000 Essential,Cuidado del aire,Tratamiento del aire,Deshumidificadores,3083,2953,2953,0,0,0
998,8399,Aspirador vertical Conga Rockstar Agile Twice Animal,Aspiración y Limpieza,Aspiradores verticales,Aspiradores verticales BLDC,1497,1144,1144,0,0,0
999,5990,EnergySilence Aero 5200 Black Line,Cuidado del aire,Ventilación,Ventiladores de techo,1285,1285,1285,0,0,0
1000,5989,EnergySilence Aero 5200 White Line,Cuidado del aire,Ventilación,Ventiladores de techo,1293,1273,1273,0,0,0
1001,8135,Hidrolimpiadora HydroBoost 1400 Essential,Aspiración y Limpieza,Hidrolimpiadoras,Hidrolimpiadoras a presión,14208,14160,14160,0,0,0
1002,5350,Convector cristal Ready Warm 6670 Crystal Connection,Cuidado del aire,Calefacción,Convectores,3699,3699,3699,0,0,0
1003,7487,Cecotec Colchón Viscoelástico ViscoSense Flow PureVital 3900 Medida 90x190. Multicapa,Pendiente Clasificación,Pendiente Clasificación,Pendiente Clasificación,16,0,0,0,0,9
1004,7085,Bicicleta estática DrumFit Cycle 9000 Talos Pro,Pendiente Clasificación,Pendiente Clasificación,Pendiente Clasificación,207,207,207,0,0,0
1005,5964,Ventilador de techo EnergySilence Aero 3600 Vision Purple,Cuidado del aire,Ventilación,Ventiladores de techo,917,917,917,0,0,0
1006,4226,Secador brushless Bamba IoniCare 6000 Rockstar Fire,Cuidado personal,Secadores de pelo,Secadores de pelo BLDC,1861,1861,1861,0,0,0
1008,2595,TV A2 series ALU20055S,Gama Marrón,Televisores,Televisores LED,309,309,309,0,0,366
1009,2619,TV A2 series ALU20065S,Gama Marrón,Televisores,Televisores LED,117,115,115,0,0,0
1010,4312,Freidora de aceite Cleanfry Luxury 4000 Dark,PAE Cocina,Freidoras,Freidoras con aceite,1234,1234,1234,0,0,0
1011,2717,Lavadora Bolero DressCode 7000 D,GAE,Lavadoras y secadoras,Lavadoras de carga frontal,733,0,0,0,0,0
1012,5818,Ready Warm 8000 Thermal Ceramic Connected,Cuidado del aire,Calefacción,Emisores térmicos,9,6,6,0,0,0
1014,3821,Horno de sobremesa Bake&Toast 6090 White Gyro,PAE Cocina,Hornos eléctricos,Hornos de sobremesa,829,828,828,0,0,0
1015,5893,ReadyWarm 1200 Thermal Black,Cuidado del aire,Calefacción,Emisores térmicos,119,23,23,0,0,0
1016,5629,Ozonizador TotalPure 5000 Max Ozone,Cuidado del aire,Tratamiento del aire,Generadores de ozono,337,336,336,0,0,0
1019,8805,Colchón Flow PureVital 5900 160x190,Descanso,Descanso,Descanso,8,8,8,0,0,3
1020,8816,Colchón Flow One 160x190,Descanso,Descanso,Descanso,2,2,2,0,0,0
1021,8854,Colchón Flow One 200x200,Descanso,Descanso,Descanso,2,2,2,0,0,0
1022,9323,"Aspirador de mano Conga Rockstar Hand Pure 8,4V (Exclusivo Eroski)",Gama Marrón,Centros de planchado,Sartenes,4800,4800,4800,0,0,0
1023,7347,Casco BrainGuard Sprinter Grey L-XL,Movilidad,,,500,500,500,0,0,0
1024,7348,Casco BrainGuard Sprinter Green S-M,Movilidad,,,500,500,500,0,0,0
1025,7346,Casco BrainGuard Sprinter Grey S-M,Movilidad,,,498,498,498,0,0,0
1026,7349,Casco BrainGuard Sprinter Green L-XL,Movilidad,,,498,498,498,0,0,0
1027,8604,Robot aspirador Conga Animal X,Aspiración y Limpieza,Robots,Robots aspiradores,3401,3401,3401,0,0,0
1028,2707,Vinoteca Bolero GrandSommelier 830 CoolCrystal,GAE,Vinotecas,Vinotecas,701,701,701,0,0,0
1029,2716,Vinoteca Bolero GrandSommelier 34030 Inox Compressor,GAE,Vinotecas,Vinotecas,219,219,219,0,0,0
1031,5887,Radiador de aceite ReadyWarm 7000 Space 360 Black,Cuidado del aire,Calefacción,Radiadores de aceite,1294,1210,1210,0,0,0
1032,2609,TV V1Z+ series VQU11065Z+S,Gama Marrón,Televisores,Televisores QLED,65,60,60,0,0,6
1033,5429,Robot aspirador Conga 2090 Vision,Aspiración y Limpieza,Robots,Robots aspiradores,570,568,568,0,0,0
1034,7084,Bicicleta estática DrumFit Cycle 9000 Talos,Pendiente Clasificación,Pendiente Clasificación,Pendiente Clasificación,384,384,384,0,0,0
1035,8018,Fondue eléctrica Fun GourmetFondue,PAE Cocina,Fun Cooking,Fondues,2835,2832,2832,0,0,0
1043,7514,Flow PureVital 4500 CecoFresh 135x190,Descanso,Descanso,Descanso,1,1,1,0,0,0
1059,7533,Flow PureHybrid 5000 180x200,Descanso,Descanso,Descanso,10,10,10,0,0,0
1113,7173,Bicicleta estática DrumFit Cycle 9000 Talos X,Pendiente Clasificación,Pendiente Clasificación,Pendiente Clasificación,53,53,53,0,0,0
1114,7172,Bicicleta estática DrumFit Cycle 9000 Talos Pro X,Pendiente Clasificación,Pendiente Clasificación,Pendiente Clasificación,52,52,52,0,0,0
1118,8757,Colchón Flow One + 120x190,Descanso,Descanso,Descanso,6,6,6,0,0,7
1120,8703,Colchón Flow ViscoCare 1900 140x190,Descanso,Descanso,Descanso,9,9,9,0,0,16
1121,8706,Colchón Flow PureVital 2990 110x190,Descanso,Descanso,Descanso,8,8,8,0,0,7
1122,8707,Colchón Flow PureVital 2990 110x200,Descanso,Descanso,Descanso,4,4,4,0,0,4
1123,8709,Colchón Flow PureVital 2990 120x200,Descanso,Descanso,Descanso,12,12,12,0,0,3
1124,8711,Colchón Flow PureVital 2990 140x200,Descanso,Descanso,Descanso,10,10,10,0,0,7
1125,8806,Colchón Flow PureVital 2990 160x190,Descanso,Descanso,Descanso,9,9,9,0,0,5
1126,8832,Colchón Flow PureVital 2990 180x190,Descanso,Descanso,Descanso,10,10,10,0,0,7
1127,8712,Colchón Flow PureVital 3990 100x200,Descanso,Descanso,Descanso,7,7,7,0,0,6
1128,8713,Colchón Flow PureVital 3990 110x190,Descanso,Descanso,Descanso,5,5,5,0,0,3
1129,8714,Colchón Flow PureVital 3990 110x200,Descanso,Descanso,Descanso,13,13,13,0,0,13
1130,8716,Colchón Flow PureVital 3990 120x200,Descanso,Descanso,Descanso,14,14,14,0,0,0
1131,8717,Colchón Flow PureVital 3990 140x190,Descanso,Descanso,Descanso,21,21,21,0,0,5
1132,8807,Colchón Flow PureVital 3990 160x190,Descanso,Descanso,Descanso,11,11,11,0,0,9
1133,8719,Colchón Flow PureVital 4990 100x200,Descanso,Descanso,Descanso,14,14,14,0,0,77
1134,8720,Colchón Flow PureVital 4990 110x190,Descanso,Descanso,Descanso,8,8,8,0,0,5
1135,8722,Colchón Flow PureVital 4990 120x190,Descanso,Descanso,Descanso,9,9,9,0,0,3
1136,8723,Colchón Flow PureVital 4990 120x200,Descanso,Descanso,Descanso,9,9,9,0,0,2
1137,8724,Colchón Flow PureVital 4990 140x190,Descanso,Descanso,Descanso,14,14,14,0,0,5
1138,8808,Colchón Flow PureVital 4990 160x190,Descanso,Descanso,Descanso,8,8,8,0,0,0
1139,8834,Colchón Flow PureVital 4990 180x190,Descanso,Descanso,Descanso,5,5,5,0,0,7
1140,8726,Colchón Flow PureVital 5990 100x200,Descanso,Descanso,Descanso,14,14,14,0,0,0
1141,8727,Colchón Flow PureVital 5990 110x190,Descanso,Descanso,Descanso,7,7,7,0,0,0
1142,8728,Colchón Flow PureVital 5990 110x200,Descanso,Descanso,Descanso,12,12,12,0,0,4
1143,8730,Colchón Flow PureVital 5990 120x200,Descanso,Descanso,Descanso,8,8,8,0,0,0
1144,8732,Colchón Flow PureVital 5990 140x200,Descanso,Descanso,Descanso,7,7,7,0,0,7
1145,8809,Colchón Flow PureVital 5990 160x190,Descanso,Descanso,Descanso,6,6,6,0,0,6
1146,8733,Colchón Flow 6990 Hybrid 100x200,Descanso,Descanso,Descanso,11,11,11,0,0,1
1147,8735,Colchón Flow 6990 Hybrid 110x200,Descanso,Descanso,Descanso,14,14,14,0,0,6
1148,8738,Colchón Flow 6990 Hybrid 140x190,Descanso,Descanso,Descanso,10,10,10,0,0,8
1149,8739,Colchón Flow 6990 Hybrid 140x200,Descanso,Descanso,Descanso,16,16,16,0,0,9
1150,8813,Colchón Flow 6990 Hybrid 160x190,Descanso,Descanso,Descanso,12,12,12,0,0,2
1151,8740,Colchón Flow 7990 Hybrid 100x200,Descanso,Descanso,Descanso,7,7,7,0,0,7
1152,8741,Colchón Flow 7990 Hybrid 110x190,Descanso,Descanso,Descanso,14,14,14,0,0,8
1153,8742,Colchón Flow 7990 Hybrid 110x200,Descanso,Descanso,Descanso,8,8,8,0,0,9
1154,8743,Colchón Flow 7990 Hybrid 120x190,Descanso,Descanso,Descanso,7,7,7,0,0,5
1155,8744,Colchón Flow 7990 Hybrid 120x200,Descanso,Descanso,Descanso,9,9,9,0,0,1
1156,8745,Colchón Flow 7990 Hybrid 140x190,Descanso,Descanso,Descanso,12,12,12,0,0,13
1157,8814,Colchón Flow 7990 Hybrid 160x190,Descanso,Descanso,Descanso,8,8,8,0,0,5
1158,8747,Colchón Flow 8990 Hybrid 100x200,Descanso,Descanso,Descanso,8,8,8,0,0,4
1159,8749,Colchón Flow 8990 Hybrid 110x200,Descanso,Descanso,Descanso,16,16,16,0,0,5
1160,8752,Colchón Flow 8990 Hybrid 140x190,Descanso,Descanso,Descanso,7,7,7,0,0,8
1161,8815,Colchón Flow 8990 Hybrid 160x190,Descanso,Descanso,Descanso,13,13,13,0,0,13
1162,8754,Colchón Flow One + 100x200,Descanso,Descanso,Descanso,2,2,2,0,0,0
1163,8755,Colchón Flow One + 110x190,Descanso,Descanso,Descanso,4,4,4,0,0,0
1164,8756,Colchón Flow One + 110x200,Descanso,Descanso,Descanso,4,4,4,0,0,0
1165,8758,Colchón Flow One + 120x200,Descanso,Descanso,Descanso,5,5,5,0,0,6
1166,8759,Colchón Flow One + 140x190,Descanso,Descanso,Descanso,3,3,3,0,0,7
1167,8760,Colchón Flow One + 140x200,Descanso,Descanso,Descanso,2,2,2,0,0,9
1168,8822,Colchón Flow One + 160x190,Descanso,Descanso,Descanso,6,6,6,0,0,6
1170,8860,Colchón Flow One + 200x200,Descanso,Descanso,Descanso,2,2,2,0,0,2
1171,8761,Colchón Flow Original + 100x200,Descanso,Descanso,Descanso,4,4,4,0,0,0
1172,8762,Colchón Flow Original + 110x190,Descanso,Descanso,Descanso,4,4,4,0,0,3
1173,8763,Colchón Flow Original + 110x200,Descanso,Descanso,Descanso,4,4,4,0,0,0
1175,8765,Colchón Flow Original + 120x200,Descanso,Descanso,Descanso,7,7,7,0,0,2
1176,8768,Colchón Flow Hybrid + 100x200,Descanso,Descanso,Descanso,4,4,4,0,0,0
1177,8769,Colchón Flow Hybrid + 110x190,Descanso,Descanso,Descanso,4,4,4,0,0,0
1178,8770,Colchón Flow Hybrid + 110x200,Descanso,Descanso,Descanso,4,4,4,0,0,0
1179,8771,Colchón Flow Hybrid + 120x190,Descanso,Descanso,Descanso,6,6,6,0,0,0
1180,8772,Colchón Flow Hybrid + 120x200,Descanso,Descanso,Descanso,2,2,2,0,0,0
1181,8776,Colchón Flow Two + 110x190,Descanso,Descanso,Descanso,2,2,2,0,0,2
1182,8778,Colchón Flow Two + 120x190,Descanso,Descanso,Descanso,1,1,1,0,0,0
1183,8780,Colchón Flow Two + 140x190,Descanso,Descanso,Descanso,3,3,3,0,0,0
1184,8781,Colchón Flow Two + 140x200,Descanso,Descanso,Descanso,7,7,7,0,0,0
1186,8782,Colchón Flow Genuine + 100x200,Descanso,Descanso,Descanso,2,2,2,0,0,0
1187,8783,Colchón Flow Genuine + 110x190,Descanso,Descanso,Descanso,2,2,2,0,0,0
1189,8785,Colchón Flow Genuine + 120x190,Descanso,Descanso,Descanso,4,4,4,0,0,0
1190,8786,Colchón Flow Genuine + 120x200,Descanso,Descanso,Descanso,7,7,7,0,0,0
1191,8788,Colchón Flow Genuine + 140x200,Descanso,Descanso,Descanso,9,9,9,0,0,3
1192,8826,Colchón Flow Genuine + 160x190,Descanso,Descanso,Descanso,4,4,4,0,0,0
1193,8852,Colchón Flow Genuine + 180x190,Descanso,Descanso,Descanso,6,6,6,0,0,0
1194,8864,Colchón Flow Genuine + 200x200,Descanso,Descanso,Descanso,6,6,6,0,0,3
1196,8792,Colchón Flow e-Hybrid + 120x190,Descanso,Descanso,Descanso,2,2,2,0,0,2
1197,8793,Colchón Flow e-Hybrid + 120x200,Descanso,Descanso,Descanso,3,3,3,0,0,0
1198,8794,Colchón Flow e-Hybrid + 140x190,Descanso,Descanso,Descanso,2,2,2,0,0,0
1200,8827,Colchón Flow e-Hybrid + 160x190,Descanso,Descanso,Descanso,1,1,1,0,0,0
1201,8853,Colchón Flow e-Hybrid + 180x190,Descanso,Descanso,Descanso,1,1,1,0,0,2
1202,8865,Colchón Flow e-Hybrid + 200x200,Descanso,Descanso,Descanso,2,2,2,0,0,2
1204,8702,Colchón Flow ViscoCare 1900 120x200,Descanso,Descanso,Descanso,3,3,3,0,0,14
1205,8721,Colchón Flow PureVital 4990 110x200,Descanso,Descanso,Descanso,8,8,8,0,0,7
1206,8725,Colchón Flow PureVital 4990 140x200,Descanso,Descanso,Descanso,5,5,5,0,0,7
1207,8737,Colchón Flow 6990 Hybrid 120x200,Descanso,Descanso,Descanso,22,22,22,0,0,5
1208,8750,Colchón Flow 8990 Hybrid 120x190,Descanso,Descanso,Descanso,12,12,12,0,0,5
1209,8751,Colchón Flow 8990 Hybrid 120x200,Descanso,Descanso,Descanso,10,10,10,0,0,11
1210,8753,Colchón Flow 8990 Hybrid 140x200,Descanso,Descanso,Descanso,4,4,4,0,0,9
1211,8841,Colchón Flow 8990 Hybrid 180x190,Descanso,Descanso,Descanso,7,7,7,0,0,6
1212,8775,Colchón Flow Two + 100x200,Descanso,Descanso,Descanso,2,2,2,0,0,2
1213,8710,Colchón Flow PureVital 2990 140x190,Descanso,Descanso,Descanso,22,21,21,0,0,6
1214,8715,Colchón Flow PureVital 3990 120x190,Descanso,Descanso,Descanso,6,5,5,0,0,6
1215,8748,Colchón Flow 8990 Hybrid 110x190,Descanso,Descanso,Descanso,13,11,11,0,0,11
1216,8777,Colchón Flow Two + 110x200,Descanso,Descanso,Descanso,2,2,2,0,0,2
1217,8789,Colchón Flow e-Hybrid + 100x200,Descanso,Descanso,Descanso,1,1,1,0,0,0
1218,8791,Colchón Flow e-Hybrid + 110x200,Descanso,Descanso,Descanso,1,1,1,0,0,0
1219,8850,Colchón Flow Hybrid + 180x190,Descanso,Descanso,Descanso,2,2,2,0,0,0
1220,8851,Colchón Flow Two + 180x190,Descanso,Descanso,Descanso,2,2,2,0,0,2
1223,8729,Colchón Flow PureVital 5990 120x190,Descanso,Descanso,Descanso,6,6,6,0,0,0
1224,8705,Colchón Flow PureVital 2990 100x200,Descanso,Descanso,Descanso,3,3,3,0,0,8
1225,8863,Colchón Flow Two + 200x200,Descanso,Descanso,Descanso,2,2,2,0,0,2
1226,8736,Colchón Flow 6990 Hybrid 120x190,Descanso,Descanso,Descanso,10,10,10,0,0,1
1227,8746,Colchón Flow 7990 Hybrid 140x200,Descanso,Descanso,Descanso,7,7,7,0,0,11
1228,3436,Cepillo alisador Bamba InstantCare 400 Travel Brush,Cuidado personal,Cepillos,Cepillos alisadores,4036,4036,4036,0,0,0
1229,8704,Colchón Flow ViscoCare 1900 140x200,Descanso,Descanso,Descanso,2,0,0,0,0,39
1230,3021,Accesorios para TurboCecofry 4D/TurboCecofry 4D Healthy,PAE Cocina,Freidoras,Freidoras sin aceite,855,855,855,0,0,0
1231,1024,Set 6 cuchillos swiss negro,Menaje,Cuchillos,Cuchillos,2778,2777,2777,0,0,0
1232,3152,Grill Polka Exclusive 28 Grill Wood&Rock,Menaje,Sartenes y Ollas,Grills,356,350,350,0,0,0
1233,4019,Batidora amasadora Cecomixer Compact,Pendiente Clasificación,Pendiente Clasificación,Pendiente Clasificación,2323,2322,2322,0,0,0
1245,7386,Colchón Flow ViscoFeel 135x190,Descanso,Descanso,Descanso,267,258,258,0,0,0
1246,2624,TV LED A3 series ALH30075,Gama Marrón,Televisores,Televisores LED,398,398,398,0,0,231
1247,8767,Colchón Flow Original + 140x200,Descanso,Descanso,Descanso,9,9,9,0,0,3
1248,8823,Colchón Flow Original + 160x190,Descanso,Descanso,Descanso,4,4,4,0,0,6
1249,7865,ALMOHADA FLOW PACK PUREADAPT,Pendiente Clasificación,Pendiente Clasificación,Pendiente Clasificación,493,493,493,0,0,0
1250,7864,ALMOHADA FLOW PUREADAPT 150 CM,Pendiente Clasificación,Pendiente Clasificación,Pendiente Clasificación,305,305,305,0,0,0
1251,7867,ALMOHADA FLOW SATISFACTION 70 CM,Pendiente Clasificación,Pendiente Clasificación,Pendiente Clasificación,131,131,131,0,0,0
1252,7868,ALMOHADA FLOW SATISFACTION 90 CM,Pendiente Clasificación,Pendiente Clasificación,Pendiente Clasificación,109,109,109,0,0,0
1253,7869,ALMOHADA FLOW SATISFACTION 135 CM,Pendiente Clasificación,Pendiente Clasificación,Pendiente Clasificación,88,88,88,0,0,0
1255,7874,ALMOHADA FLOW LUXURY 135 CM,Pendiente Clasificación,Pendiente Clasificación,Pendiente Clasificación,91,91,91,0,0,0
1257,2688,Frigorífico Bolero MiniCooling 4L Bora White,GAE,Frigoríficos,Frigoríficos retro,502,502,502,0,0,0
1258,2689,Frigorífico Bolero MiniCooling 4L Bora Black,GAE,Frigoríficos,Frigoríficos retro,500,500,500,0,0,0
1261,8849,Colchón Flow Original + 180x190,Descanso,Descanso,Descanso,6,6,6,0,0,2
1262,3622,TV QLED V3+ series VQU30098+,Pendiente Clasificación,Pendiente Clasificación,Pendiente Clasificación,44,44,44,0,0,82
1263,9020,Colchón Flow CecoFresh 2100 CoolConfort Hybrid 90 x 200,Descanso,Descanso,Colchón,2,2,2,0,0,2
1264,9022,Colchón Flow CecoFresh 2100 CoolConfort Hybrid 105 x 190,Descanso,Descanso,Colchón,2,2,2,0,0,1
1265,9037,Colcho´n Flow CecoFresh 2700 CoolConfort Hybrid 180 x 200,Descanso,Descanso,Colchón,1,1,1,0,0,1
1266,9038,Colcho´n Flow CecoFresh 2700 CoolConfort Hybrid 200 x 200,Descanso,Descanso,Colchón,1,1,1,0,0,1
1267,9045,Colcho´n Flow CecoFresh 2900 CoolConfort Hybrid 105 x 190,Descanso,Descanso,Colchón,1,1,1,0,0,0
1268,9056,Colcho´n Flow CecoFresh 2900 CoolConfort Hybrid 150 x 200,Descanso,Descanso,Colchón,4,4,4,0,0,0
1269,9061,Colcho´n Flow CecoFresh 2900 CoolConfort Hybrid 200 x 200,Descanso,Descanso,Colchón,1,1,1,0,0,1
1270,9055,Colcho´n Flow CecoFresh 2900 CoolConfort Hybrid 150 x 190,Descanso,Descanso,Colchón,20,20,20,0,0,0
1271,9019,Colchón Flow CecoFresh 2100 CoolConfort Hybrid 90 x 190,Descanso,Descanso,Colchón,5,5,5,0,0,0
1272,9028,Colcho´n Flow CecoFresh 2700 CoolConfort Hybrid 135 x 190,Descanso,Descanso,Colchón,15,15,15,0,0,0
1273,9032,Colcho´n Flow CecoFresh 2700 CoolConfort Hybrid 150 x 190,Descanso,Descanso,Colchón,19,19,19,0,0,0
1274,9033,Colcho´n Flow CecoFresh 2700 CoolConfort Hybrid 150 x 200,Descanso,Descanso,Colchón,5,5,5,0,0,1
1275,9043,Colcho´n Flow CecoFresh 2900 CoolConfort Hybrid 90 x 200,Descanso,Descanso,Colchón,7,7,7,0,0,2
1276,9051,Colcho´n Flow CecoFresh 2900 CoolConfort Hybrid 135 x 190,Descanso,Descanso,Colchón,15,15,15,0,0,0
1277,7863,ALMOHADA FLOW PUREADAPT 135 CM,Pendiente Clasificación,Pendiente Clasificación,Pendiente Clasificación,665,665,665,0,0,0
1278,7862,ALMOHADA FLOW PUREADAPT 90 CM,Pendiente Clasificación,Pendiente Clasificación,Pendiente Clasificación,809,809,809,0,0,0
1280,7861,ALMOHADA FLOW PUREADAPT 70 CM,Pendiente Clasificación,Pendiente Clasificación,Pendiente Clasificación,537,537,537,0,0,0
1281,4234,Secador brushless Bamba IoniCare 6000 RockStar Essence,Cuidado personal,Secadores de pelo,Secadores de pelo BLDC,495,462,462,0,0,0
1282,3151,Olla baja Polka Exclusive 28 Low Pot Wood&Rock,Menaje,Sartenes y Ollas,Ollas y cazos,173,170,170,0,0,0
1283,2596,TV A2Z series ALU20043Z,Gama Marrón,Televisores,Televisores LED,208,206,206,0,0,0
1284,8100,Robot aspirador Conga 2299 Ultra Home Genesis,Aspiración y Limpieza,Robots,Robots aspiradores,28,-11,-11,0,0,0
1286,1628,Cafetera express Power Espresso 20 Tradizionale Light Blue,Pendiente Clasificación,Pendiente Clasificación,Pendiente Clasificación,2107,2103,2103,0,0,0
1287,1667,Cafetera italiana Cumbia Moklassic 600 Black,PAE Cocina,Cafeteras,Cafeteras italianas,3796,3790,3790,0,0,0
1288,5949,Ventilador de techo EnergySilence Aero 580,Cuidado del aire,Ventilación,Ventiladores de techo,642,620,620,0,0,200
1289,3097,Exprimidor de brazo EssentialVita PowerFresh 600 Inox,Pendiente Clasificación,Pendiente Clasificación,Pendiente Clasificación,353,337,337,0,0,0
1347,7328,Patinete eléctrico Bongo Serie A Connected X,Movilidad,Patinetes eléctricos,Patinetes eléctricos,92,92,92,0,0,0
1348,7331,Patinete eléctrico Bongo Serie Z+ Off Road X,Movilidad,Patinetes eléctricos,Patinetes eléctricos,18,18,18,0,0,0
1349,7329,Patinete eléctrico Bongo Serie A Advance Max Connected X,Movilidad,Patinetes eléctricos,Patinetes eléctricos,42,42,42,0,0,0
1350,7330,Patinete eléctrico Bongo Serie Z+ On Road X,Movilidad,Patinetes eléctricos,Patinetes eléctricos,18,18,18,0,0,0
1351,7170,Bicicleta estática DrumFit Cycle 6000 Pegasus Pro X,Pendiente Clasificación,Pendiente Clasificación,Pendiente Clasificación,37,37,37,0,0,0
1352,7168,Bicicleta plegable X-Bike X,Pendiente Clasificación,Pendiente Clasificación,Pendiente Clasificación,36,36,36,0,0,0
1353,7165,Bicicleta Mágnetica X-BIKE PRO X,Pendiente Clasificación,Pendiente Clasificación,Pendiente Clasificación,3,3,3,0,0,0
1356,7833,Colchón Flow Two + 160x200,Descanso,Descanso,Descanso,1,1,1,0,0,6
1362,6042,Almohada 75 cm visco copos,Descanso,Descanso,Descanso,3,3,3,0,0,0
1363,6043,Almohada 80 cm visco copos,Descanso,Descanso,Descanso,5,5,5,0,0,0
1365,6045,Almohada 105 cm visco copos,Descanso,Descanso,Descanso,3,3,3,0,0,0
1367,6047,Almohada 150 cm visco copos,Descanso,Descanso,Descanso,4,4,4,0,0,0
1368,6048,PACK 2 almohada 070 cm visco copos,Descanso,Descanso,Descanso,129,129,129,0,0,0
1369,6051,Almohada 70 cm visco elastica,Descanso,Descanso,Descanso,2,2,2,0,0,0
1371,6055,Almohada 105 cm visco elastica,Descanso,Descanso,Descanso,1,1,1,0,0,0
1372,6057,Almohada 150 cm visco elastica,Descanso,Descanso,Descanso,4,4,4,0,0,0
1375,6080,Almohada 060 cm visco soja,Descanso,Descanso,Descanso,1,1,1,0,0,0
1376,6082,Almohada 075 cm visco soja,Descanso,Descanso,Descanso,4,4,4,0,0,0
1377,6083,Almohada 080 cm visco soja,Descanso,Descanso,Descanso,3,3,3,0,0,0
1379,6098,Almohada 150 cm viscogel,Descanso,Descanso,Descanso,4,4,4,0,0,0
1380,6101,Almohada 070 cm visco nature,Descanso,Descanso,Descanso,25,25,25,0,0,0
1381,6102,Almohada 075 cm visco nature,Descanso,Descanso,Descanso,1,1,1,0,0,0
1382,6104,Almohada 090 cm visco nature,Descanso,Descanso,Descanso,2,2,2,0,0,0
1396,6334,Recolax cloud sense 21 cm 120 190,Descanso,Descanso,Descanso,1,1,1,0,0,0
1406,6481,Recolax grafeno 160 200,Descanso,Descanso,Descanso,1,1,1,0,0,0
1417,6567,Recolax Premium ViscoGel muelles ensacados 140 190,Descanso,Descanso,Descanso,1,1,1,0,0,0
1423,6600,Base tapizada 080 180,Descanso,Descanso,Descanso,1,1,1,0,0,0
1429,6613,Base tapizada 120 190,Descanso,Descanso,Descanso,1,1,1,0,0,0
1439,6702,Cabecero cost. plegada 100 negro,Descanso,Descanso,Descanso,3,3,3,0,0,0
1440,6703,Cabecero cost. plegada 100 blanco,Descanso,Descanso,Descanso,1,1,1,0,0,0
1441,6704,Cabecero cost. plegada 100 plata,Descanso,Descanso,Descanso,2,2,2,0,0,0
1442,6705,Cabecero cost. plegada 155 marron chocolate,Descanso,Descanso,Descanso,3,3,3,0,0,0
1443,6707,Cabecero cost. plegada 155 negro,Descanso,Descanso,Descanso,1,1,1,0,0,0
1444,6708,Cabecero cost. plegada 155 blanco,Descanso,Descanso,Descanso,23,23,23,0,0,0
1445,6709,Cabecero cost. plegada 155 plata,Descanso,Descanso,Descanso,1,1,1,0,0,0
1447,6713,Cabecero cost. vista 100 blanco,Descanso,Descanso,Descanso,5,5,5,0,0,0
1448,6714,Cabecero cost.vista 100 plata,Descanso,Descanso,Descanso,5,5,5,0,0,0
1449,6716,Cabecero cost. vista 155 beige,Descanso,Descanso,Descanso,7,7,7,0,0,0
1450,6717,Cabecero cost. vista 155 negro,Descanso,Descanso,Descanso,1,1,1,0,0,0
1451,6718,Cabecero cost. vista 155 blanco,Descanso,Descanso,Descanso,3,3,3,0,0,0
1452,6719,Cabecero cost. vista 155 plata,Descanso,Descanso,Descanso,4,4,4,0,0,0
1494,3813,Horno de sobremesa Bake&Toast 2600 White 4Pizza,PAE Cocina,Hornos eléctricos,Hornos de sobremesa,790,790,790,0,0,0
1496,1983,Cafetera espresso Power Espresso 20 Square Pro,PAE Cocina,Cafeteras,Cafeteras express,3114,3114,3114,0,0,3159
1497,2618,TV A2 series ALU20050S,Gama Marrón,Televisores,Televisores LED,29,29,29,0,0,0
1498,7901,Colchón Flow PureVital 2990 80x190,Descanso,Descanso,Descanso,9,9,9,0,0,0
1499,7902,Colchón Flow PureVital 2990 80x200,Descanso,Descanso,Descanso,11,11,11,0,0,0
1500,7541,Colchón Flow PureVital 2990 90x190,Descanso,Descanso,Descanso,104,104,104,0,0,0
1501,7542,Colchón Flow PureVital 2990 90x200,Descanso,Descanso,Descanso,18,18,18,0,0,0
1502,7543,Colchón Flow PureVital 2990 105x190,Descanso,Descanso,Descanso,24,24,24,0,0,5
1503,7544,Colchón Flow PureVital 2990 135x190,Descanso,Descanso,Descanso,48,48,48,0,0,37
1504,7545,Colchón Flow PureVital 2990 150x190,Descanso,Descanso,Descanso,75,75,75,0,0,0
1505,7546,Colchón Flow PureVital 2990 150x200,Descanso,Descanso,Descanso,29,29,29,0,0,0
1506,7906,Colchón Flow PureVital 3990 80x190,Descanso,Descanso,Descanso,15,15,15,0,0,7
1507,7907,Colchón Flow PureVital 3990 80x200,Descanso,Descanso,Descanso,12,12,12,0,0,1
1508,7547,Colchón Flow PureVital 3990 90x190,Descanso,Descanso,Descanso,95,95,95,0,0,0
1509,7555,Colchón Flow PureVital 3990 150x190,Descanso,Descanso,Descanso,22,22,22,0,0,15
1510,6167,Colchón Flow PureVital 4900 80x190,Descanso,Descanso,Descanso,6,6,6,0,0,2
1511,7954,Colchón Flow PureVital 4900 120x190,Descanso,Descanso,Descanso,3,3,3,0,0,7
